unit	exit	seconds	findings_lines	dirty	banner
man-pkg:NOSUCHPACKAGE	FAILED	5	1	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-pkg:NOSUCHPACKAGE	0	8	1	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
selftest-dirty:one	0	8	0	DIRTY	OpenAI Codex v0.153.0/gpt-5.6-terra
