unit	exit	seconds	findings_lines	dirty	banner
man-pkg:color	0	104	16	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-topic:variable	0	150	16	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
