unit	exit	seconds	findings_lines	dirty	banner
man-page:math/abs	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/overview	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/acos	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/asin	FAILED	2	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/atan	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/atan2	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/ceil	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/clamp	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/floor	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/cos	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/exp	FAILED	2	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/log	FAILED	2	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/log10	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/max	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/min	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/pow	FAILED	13	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/rand	FAILED	12	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/abs	0	126	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/asin	0	142	14	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/acos	0	158	33	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/overview	0	180	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/atan	0	163	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/atan2	0	151	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/ceil	0	158	22	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/clamp	0	163	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/clamp	0	119	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/exp	0	135	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/cos	0	162	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/ceil	0	177	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/max	0	104	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/floor	0	170	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/log10	0	138	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/log	0	166	30	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/rand	0	99	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/min	0	126	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/round	0	154	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/pow	FAILED	4	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/sqrt	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/tan	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/sin	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/seed	FAILED	3	0	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/seed	0	138	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/sin	0	147	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/sqrt	0	167	26	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/pow	0	200	19	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
man-page:math/tan	0	208	12	clean	OpenAI Codex v0.153.0/gpt-5.6-terra
